FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
210609;0000;50;;;
210610;0000;59;;;
210611;0000;52;;;
210612;0000;45;;;
210613;0000;66;;;
210614;0000;59;;;
210615;0000;221;;;
210616;0000;340;;;
210617;0000;415;;;
210618;0000;271;;;
210619;0000;92;;;
210620;0000;164;;;
210621;0000;169;;;
210622;0000;187;;;
210623;0000;129;;;
210624;0000;57;;;
210625;0000;68;;;
210626;0000;94;;;
210627;0000;185;;;
210628;0000;265;;;
210629;0000;303;;;
210630;0000;118;;;
210701;0000;33;;;
210702;0000;40;;;
210703;0000;20;;;
210704;0000;41;;;
210705;0000;53;;;
210706;0000;60;;;
210707;0000;71;;;
210708;0000;97;;;
210709;0000;78;;;
210710;0000;24;;;
210711;0000;15;;;
210712;0000;26;;;
210713;0000;43;;;
210714;0000;40;;;
210715;0000;32;;;
210716;0000;31;;;
210717;0000;41;;;
210718;0000;47;;;
210719;0000;38;;;
210720;0000;44;;;
210721;0000;41;;;
210722;0000;31;;;
210723;0000;35;;;
210724;0000;78;;;
210725;0000;45;;;
210726;0000;45;;;
210727;0000;43;;;
210728;0000;29;;;
210729;0000;28;;;
210730;0000;54;;;
210731;0000;51;;;
210801;0000;27;;;
210802;0000;35;;;
210803;0000;97;;;
210804;0000;257;;;
210805;0000;81;;;
210806;0000;35;;;
210807;0000;27;;;
210808;0000;36;;;
210809;0000;43;;;
210810;0000;72;;;
210811;0000;73;;;
210812;0000;93;;;
210813;0000;44;;;
210814;0000;38;;;
210815;0000;77;;;
210816;0000;64;;;
210817;0000;40;;;
210818;0000;62;;;
210819;0000;79;;;
210820;0000;69;;;
210821;0000;81;;;
210822;0000;46;;;
210823;0000;33;;;
210824;0000;23;;;
210825;0000;26;;;
210826;0000;58;;;
210827;0000;59;;;
210828;0000;28;;;
210829;0000;78;;;
210830;0000;69;;;
210831;0000;35;;;
210901;0000;60;;;
210902;0000;105;;;
210903;0000;63;;;
210904;0000;48;;;
210905;0000;72;;;
210906;0000;99;;;
210907;0000;54;;;
210908;0000;26;;;
210909;0000;36;;;
210910;0000;47;;;
210911;0000;28;;;
210912;0000;19;;;
210913;0000;21;;;
210914;0000;14;;;
210915;0000;19;;;
210916;0000;29;;;
210917;0000;21;;;
210918;0000;26;;;
210919;0000;30;;;
210920;0000;22;;;
210921;0000;30;;;
210922;0000;17;;;
210923;0000;20;;;
210924;0000;17;;;
210925;0000;20;;;
210926;0000;19;;;
210927;0000;18;;;
210928;0000;16;;;
210929;0000;24;;;
210930;0000;17;;;
211001;0000;38;;;
211002;0000;25;;;
211003;0000;12;;;
211004;0000;18;;;
211005;0000;25;;;
211006;0000;17;;;
211007;0000;32;;;
211008;0000;15;;;
211009;0000;12;;;
211010;0000;13;;;
211011;0000;20;;;
211012;0000;27;;;
211013;0000;22;;;
211014;0000;18;;;
211015;0000;11;;;
211016;0000;10;;;
211017;0000;15;;;
211018;0000;10;;;
211019;0000;12;;;
211020;0000;10;;;
211021;0000;16;;;
211022;0000;17;;;
211023;0000;12;;;
211024;0000;12;;;
211025;0000;13;;;
211026;0000;12;;;
211027;0000;13;;;
211028;0000;10;;;
211029;0000;17;;;
211030;0000;17;;;
211031;0000;8;;;
211101;0000;18;;;
211102;0000;11;;;
211103;0000;16;;;
211104;0000;14;;;
211105;0000;12;;;
211106;0000;11;;;
211107;0000;13;;;
211108;0000;18;;;
211109;0000;12;;;
211110;0000;13;;;
211111;0000;17;;;
211112;0000;13;;;
211113;0000;9;;;
211114;0000;15;;;
211115;0000;21;;;
211116;0000;13;;;
211117;0000;8;;;
211118;0000;7;;;
211119;0000;7;;;
211120;0000;8;;;
211121;0000;8;;;
211122;0000;5;;;
211123;0000;4;;;
211124;0000;8;;;
211125;0000;7;;;
211126;0000;12;;;
211127;0000;12;;;
211128;0000;6;;;
211129;0000;12;;;
211130;0000;8;;;
211201;0000;9;;;
211202;0000;10;;;
211203;0000;7;;;
211204;0000;7;;;
211205;0000;5;;;
211206;0000;6;;;
211207;0000;4;;;
211208;0000;12;;;
211209;0000;6;;;
211210;0000;5;;;
211211;0000;6;;;
211212;0000;5;;;
211213;0000;8;;;
211214;0000;7;;;
211215;0000;5;;;
211216;0000;3;;;
211217;0000;6;;;
211218;0000;7;;;
211219;0000;3;;;
211220;0000;4;;;
211221;0000;4;;;
211222;0000;6;;;
211223;0000;4;;;
211224;0000;4;;;
211225;0000;3;;;
211226;0000;2;;;
211227;0000;3;;;
211228;0000;3;;;
211229;0000;3;;;
211230;0000;5;;;
211231;0000;9;;;
220101;0000;10;;;
220102;0000;9;;;
220103;0000;9;;;
220104;0000;6;;;
220105;0000;3;;;
220106;0000;3;;;
220107;0000;3;;;
220108;0000;4;;;
220109;0000;4;;;
220110;0000;3;;;
220111;0000;3;;;
220112;0000;2;;;
220113;0000;4;;;
220114;0000;2;;;
220115;0000;6;;;
220116;0000;6;;;
220117;0000;11;;;
220118;0000;9;;;
220119;0000;8;;;
220120;0000;8;;;
220121;0000;5;;;
220122;0000;7;;;
220123;0000;5;;;
220124;0000;4;;;
220125;0000;;;10;
220126;0000;;;5;
220127;0000;;;5;
220128;0000;;;5;
220129;0000;5;;;
220130;0000;6;;;
220131;0000;5;;;
220201;0000;4;;;
220202;0000;2;;;
220203;0000;3;;;
220204;0000;5;;;
220205;0000;4;;;
220206;0000;4;;;
220207;0000;3;;;
220208;0000;6;;;
220209;0000;5;;;
220210;0000;7;;;
220211;0000;5;;;
220212;0000;3;;;
220213;0000;3;;;
220214;0000;6;;;
220215;0000;7;;;
220216;0000;8;;;
220217;0000;5;;;
220218;0000;3;;;
220219;0000;5;;;
220220;0000;10;;;
220221;0000;6;;;
220222;0000;17;;;
220223;0000;10;;;
220224;0000;6;;;
220225;0000;8;;;
220226;0000;10;;;
220227;0000;8;;;
220228;0000;9;;;
220301;0000;5;;;
220302;0000;5;;;
220303;0000;8;;;
220304;0000;12;;;
220305;0000;13;;;
220306;0000;22;;;
220307;0000;17;;;
220308;0000;26;;;
220309;0000;14;;;
220310;0000;14;;;
220311;0000;10;;;
220312;0000;16;;;
220313;0000;8;;;
220314;0000;12;;;
220315;0000;10;;;
220316;0000;12;;;
220317;0000;12;;;
220318;0000;24;;;
220319;0000;49;;;
220320;0000;30;;;
220321;0000;11;;;
220322;0000;13;;;
220323;0000;17;;;
220324;0000;15;;;
220325;0000;16;;;
220326;0000;21;;;
220327;0000;21;;;
220328;0000;21;;;
220329;0000;33;;;
220330;0000;40;;;
220331;0000;16;;;
220401;0000;14;;;
220402;0000;21;;;
220403;0000;9;;;
220404;0000;9;;;
220405;0000;18;;;
220406;0000;24;;;
220407;0000;41;;;
220408;0000;46;;;
220409;0000;32;;;
220410;0000;11;;;
220411;0000;25;;;
220412;0000;20;;;
220413;0000;10;;;
220414;0000;30;;;
220415;0000;22;;;
220416;0000;32;;;
220417;0000;53;;;
220418;0000;20;;;
220419;0000;16;;;
220420;0000;17;;;
220421;0000;43;;;
220422;0000;32;;;
220423;0000;28;;;
220424;0000;28;;;
220425;0000;41;;;
220426;0000;27;;;
220427;0000;105;;;
220428;0000;75;;;
220429;0000;54;;;
220430;0000;24;;;
220501;0000;39;;;
220502;0000;19;;;
220503;0000;30;;;
220504;0000;29;;;
220505;0000;31;;;
220506;0000;49;;;
220507;0000;31;;;
220508;0000;17;;;
220509;0000;26;;;
220510;0000;68;;;
220511;0000;124;;;
220512;0000;73;;;
220513;0000;46;;;
220514;0000;89;;;
220515;0000;242;;;
220516;0000;332;;;
220517;0000;322;;;
220518;0000;341;;;
220519;0000;279;;;
220520;0000;172;;;
220521;0000;61;;;
220522;0000;33;;;
220523;0000;34;;;
220524;0000;50;;;
220525;0000;52;;;
220526;0000;47;;;
220527;0000;62;;;
220528;0000;65;;;
220529;0000;131;;;
220530;0000;155;;;
220531;0000;116;;;
220601;0000;220;;;
220602;0000;245;;;
220603;0000;174;;;
220604;0000;51;;;
220605;0000;54;;;
220606;0000;72;;;
220607;0000;43;;;
220608;0000;77;;;
220609;0000;57;;;
220610;0000;81;;;
220611;0000;358;;;
220612;0000;258;;;
220613;0000;129;;;
220614;0000;176;;;
220615;0000;75;;;
220616;0000;31;;;
220617;0000;23;;;
220618;0000;46;;;
220619;0000;49;;;
220620;0000;132;;;
220621;0000;259;;;
220622;0000;287;;;
220623;0000;308;;;
220624;0000;342;;;
220625;0000;279;;;
220626;0000;87;;;
220627;0000;57;;;
220628;0000;66;;;
220629;0000;59;;;
220630;0000;66;;;
220701;0000;88;;;
220702;0000;87;;;
220703;0000;91;;;
220704;0000;60;;;
220705;0000;82;;;
220706;0000;93;;;
220707;0000;109;;;
220708;0000;157;;;
220709;0000;96;;;
220710;0000;41;;;
220711;0000;93;;;
220712;0000;69;;;
220713;0000;133;;;
220714;0000;74;;;
220715;0000;70;;;
220716;0000;67;;;
220717;0000;44;;;
220718;0000;15;;;
220719;0000;25;;;
220720;0000;33;;;
220721;0000;57;;;
220722;0000;112;;;
220723;0000;110;;;
220724;0000;95;;;
220725;0000;146;;;
220726;0000;101;;;
220727;0000;64;;;
220728;0000;16;;;
220729;0000;29;;;
220730;0000;62;;;
220731;0000;53;;;
220801;0000;37;;;
220802;0000;45;;;
220803;0000;64;;;
220804;0000;46;;;
220805;0000;151;;;
220806;0000;81;;;
220807;0000;31;;;
220808;0000;57;;;
220809;0000;22;;;
220810;0000;27;;;
220811;0000;42;;;
220812;0000;26;;;
220813;0000;65;;;
220814;0000;35;;;
220815;0000;31;;;
220816;0000;31;;;
220817;0000;36;;;
220818;0000;15;;;
220819;0000;20;;;
220820;0000;69;;;
220821;0000;44;;;
220822;0000;27;;;
220823;0000;34;;;
220824;0000;17;;;
220825;0000;26;;;
220826;0000;21;;;
220827;0000;37;;;
220828;0000;59;;;
220829;0000;100;;;
220830;0000;27;;;
220831;0000;30;;;
220901;0000;16;;;
220902;0000;10;;;
220903;0000;9;;;
220904;0000;10;;;
220905;0000;26;;;
220906;0000;67;;;
220907;0000;45;;;
220908;0000;49;;;
220909;0000;17;;;
220910;0000;22;;;
220911;0000;31;;;
220912;0000;39;;;
220913;0000;34;;;
220914;0000;59;;;
220915;0000;45;;;
220916;0000;60;;;
220917;0000;34;;;
220918;0000;42;;;
220919;0000;45;;;
220920;0000;101;;;
220921;0000;43;;;
220922;0000;47;;;
220923;0000;28;;;
220924;0000;15;;;
220925;0000;17;;;
220926;0000;14;;;
220927;0000;14;;;
220928;0000;19;;;
220929;0000;25;;;
220930;0000;29;;;
221001;0000;51;;;
221002;0000;84;;;
221003;0000;48;;;
221004;0000;14;;;
221005;0000;13;;;
221006;0000;12;;;
221007;0000;22;;;
221008;0000;23;;;
221009;0000;13;;;
221010;0000;10;;;
221011;0000;11;;;
221012;0000;14;;;
221013;0000;17;;;
221014;0000;15;;;
221015;0000;14;;;
221016;0000;44;;;
221017;0000;31;;;
221018;0000;14;;;
221019;0000;9;;;
221020;0000;11;;;
221021;0000;16;;;
221022;0000;26;;;
221023;0000;16;;;
221024;0000;11;;;
221025;0000;18;;;
221026;0000;9;;;
221027;0000;17;;;
221028;0000;20;;;
221029;0000;17;;;
221030;0000;28;;;
221031;0000;10;;;
221101;0000;15;;;
221102;0000;31;;;
221103;0000;24;;;
221104;0000;14;;;
221105;0000;9;;;
221106;0000;11;;;
221107;0000;13;;;
221108;0000;7;;;
221109;0000;8;;;
221110;0000;9;;;
221111;0000;11;;;
221112;0000;7;;;
221113;0000;6;;;
221114;0000;11;;;
221115;0000;10;;;
221116;0000;11;;;
221117;0000;15;;;
221118;0000;9;;;
221119;0000;16;;;
221120;0000;16;;;
221121;0000;8;;;
221122;0000;5;;;
221123;0000;10;;;
221124;0000;11;;;
221125;0000;10;;;
221126;0000;8;;;
221127;0000;6;;;
221128;0000;6;;;
221129;0000;4;;;
221130;0000;7;;;
221201;0000;6;;;
221202;0000;8;;;
221203;0000;10;;;
221204;0000;10;;;
221205;0000;14;;;
221206;0000;10;;;
221207;0000;11;;;
221208;0000;10;;;
221209;0000;13;;;
221210;0000;20;;;
221211;0000;9;;;
221212;0000;6;;;
221213;0000;9;;;
221214;0000;7;;;
221215;0000;8;;;
221216;0000;5;;;
221217;0000;6;;;
221218;0000;5;;;
221219;0000;10;;;
221220;0000;9;;;
221221;0000;6;;;
221222;0000;7;;;
221223;0000;10;;;
221224;0000;7;;;
221225;0000;4;;;
221226;0000;4;;;
221227;0000;6;;;
221228;0000;6;;;
221229;0000;4;;;
221230;0000;5;;;
221231;0000;7;;;
230101;0000;6;;;
230102;0000;5;;;
230103;0000;3;;;
230104;0000;5;;;
230105;0000;2;;;
230106;0000;3;;;
230107;0000;5;;;
230108;0000;6;;;
230109;0000;5;;;
230110;0000;17;;;
230111;0000;8;;;
230112;0000;7;;;
230113;0000;5;;;
230114;0000;8;;;
230115;0000;5;;;
230116;0000;5;;;
230117;0000;5;;;
230118;0000;7;;;
230119;0000;4;;;
230120;0000;3;;;
230121;0000;2;;;
230122;0000;4;;;
230123;0000;6;;;
230124;0000;;;4;
230125;0000;;;4;
230126;0000;;;4;
230127;0000;;;5;
230128;0000;3;;;
230129;0000;3;;;
230130;0000;4;;;
230131;0000;6;;;
230201;0000;4;;;
230202;0000;4;;;
230203;0000;4;;;
230204;0000;4;;;
230205;0000;5;;;
230206;0000;7;;;
230207;0000;4;;;
230208;0000;3;;;
230209;0000;5;;;
230210;0000;7;;;
230211;0000;8;;;
230212;0000;6;;;
230213;0000;14;;;
230214;0000;9;;;
230215;0000;;;11;
230216;0000;20;;;
230217;0000;11;;;
230218;0000;5;;;
230219;0000;9;;;
230220;0000;7;;;
230221;0000;6;;;
230222;0000;5;;;
230223;0000;5;;;
230224;0000;9;;;
230225;0000;10;;;
230226;0000;7;;;
230227;0000;4;;;
230228;0000;;;;
230301;0000;;;;
230302;0000;6;;;
230303;0000;10;;;
230304;0000;15;;;
230305;0000;9;;;
230306;0000;12;;;
230307;0000;18;;;
230308;0000;15;;;
230309;0000;14;;;
230310;0000;21;;;
230311;0000;28;;;
230312;0000;9;;;
230313;0000;11;;;
230314;0000;14;;;
230315;0000;11;;;
230316;0000;22;;;
230317;0000;13;;;
230318;0000;21;;;
230319;0000;13;;;
230320;0000;25;;;
230321;0000;34;;;
230322;0000;10;;;
230323;0000;15;;;
230324;0000;13;;;
230325;0000;32;;;
230326;0000;12;;;
230327;0000;16;;;
230328;0000;34;;;
230329;0000;23;;;
230330;0000;43;;;
230331;0000;46;;;
230401;0000;28;;;
230402;0000;22;;;
230403;0000;15;;;
230404;0000;30;;;
230405;0000;34;;;
230406;0000;18;;;
230407;0000;41;;;
230408;0000;23;;;
230409;0000;12;;;
230410;0000;133;;;
230411;0000;113;;;
230412;0000;96;;;
230413;0000;160;;;
230414;0000;71;;;
230415;0000;47;;;
230416;0000;30;;;
230417;0000;22;;;
230418;0000;15;;;
230419;0000;15;;;
230420;0000;10;;;
230421;0000;29;;;
230422;0000;25;;;
230423;0000;67;;;
230424;0000;24;;;
230425;0000;28;;;
230426;0000;52;;;
230427;0000;43;;;
230428;0000;67;;;
230429;0000;10;;;
230430;0000;14;;;
230501;0000;23;;;
230502;0000;22;;;
230503;0000;11;;;
230504;0000;18;;;
230505;0000;21;;;
230506;0000;27;;;
230507;0000;21;;;
230508;0000;19;;;
230509;0000;42;;;
230510;0000;82;;;
230511;0000;18;;;
230512;0000;34;;;
230513;0000;36;;;
230514;0000;114;;;
230515;0000;37;;;
230516;0000;18;;;
230517;0000;14;;;
230518;0000;36;;;
230519;0000;43;;;
230520;0000;103;;;
230521;0000;80;;;
230522;0000;132;;;
230523;0000;120;;;
230524;0000;65;;;
230525;0000;37;;;
230526;0000;51;;;
230527;0000;35;;;
230528;0000;67;;;
230529;0000;63;;;
230530;0000;50;;;
230531;0000;26;;;
230601;0000;69;;;
230602;0000;58;;;
230603;0000;54;;;
230604;0000;59;;;
230605;0000;69;;;
230606;0000;25;;;
230607;0000;44;;;
230608;0000;44;;;
230609;0000;77;;;
230610;0000;64;;;
230611;0000;25;;;
230612;0000;40;;;
230613;0000;93;;;
230614;0000;29;;;
230615;0000;88;;;
230616;0000;151;;;
230617;0000;85;;;
230618;0000;114;;;
230619;0000;382;;;
230620;0000;223;;;
230621;0000;181;;;
230622;0000;69;;;
230623;0000;83;;;
230624;0000;150;;;
230625;0000;116;;;
230626;0000;71;;;
230627;0000;185;;;
230628;0000;150;;;
230629;0000;117;;;
230630;0000;194;;;
230701;0000;193;;;
230702;0000;66;;;
230703;0000;53;;;
230704;0000;68;;;
230705;0000;49;;;
230706;0000;55;;;
230707;0000;94;;;
230708;0000;105;;;
230709;0000;115;;;
230710;0000;75;;;
230711;0000;53;;;
230712;0000;107;;;
230713;0000;191;;;
230714;0000;124;;;
230715;0000;43;;;
230716;0000;94;;;
230717;0000;86;;;
230718;0000;96;;;
230719;0000;172;;;
230720;0000;135;;;
230721;0000;81;;;
230722;0000;66;;;
230723;0000;72;;;
230724;0000;130;;;
230725;0000;200;;;
230726;0000;113;;;
230727;0000;118;;;
230728;0000;145;;;
230729;0000;22;;;
230730;0000;81;;;
230731;0000;80;;;
230801;0000;22;;;
230802;0000;22;;;
230803;0000;17;;;
230804;0000;23;;;
230805;0000;31;;;
230806;0000;33;;;
230807;0000;167;;;
230808;0000;66;;;
230809;0000;77;;;
230810;0000;49;;;
230811;0000;41;;;
230812;0000;161;;;
230813;0000;107;;;
230814;0000;59;;;
230815;0000;31;;;
230816;0000;70;;;
230817;0000;98;;;
230818;0000;116;;;
230819;0000;75;;;
230820;0000;67;;;
230821;0000;59;;;
230822;0000;26;;;
230823;0000;25;;;
230824;0000;31;;;
230825;0000;31;;;
230826;0000;23;;;
230827;0000;28;;;
230828;0000;21;;;
230829;0000;26;;;
230830;0000;22;;;
230831;0000;50;;;
230901;0000;25;;;
230902;0000;32;;;
230903;0000;64;;;
230904;0000;75;;;
230905;0000;65;;;
230906;0000;74;;;
230907;0000;59;;;
230908;0000;54;;;
230909;0000;55;;;
230910;0000;30;;;
230911;0000;23;;;
230912;0000;26;;;
230913;0000;26;;;
230914;0000;16;;;
230915;0000;32;;;
230916;0000;31;;;
230917;0000;32;;;
230918;0000;53;;;
230919;0000;94;;;
230920;0000;136;;;
230921;0000;73;;;
230922;0000;60;;;
230923;0000;41;;;
230924;0000;53;;;
230925;0000;33;;;
230926;0000;10;;;
230927;0000;24;;;
230928;0000;35;;;
230929;0000;32;;;
230930;0000;33;;;
231001;0000;16;;;
231002;0000;17;;;
231003;0000;17;;;
231004;0000;12;;;
231005;0000;15;;;
231006;0000;14;;;
231007;0000;8;;;
231008;0000;14;;;
231009;0000;14;;;
231010;0000;37;;;
231011;0000;;;13;
231012;0000;;;2;
231013;0000;;;2;
231014;0000;;;2;
231015;0000;;;12;
231016;0000;17;;;
231017;0000;24;;;
231018;0000;20;;;
231019;0000;7;;;
231020;0000;20;;;
231021;0000;22;;;
231022;0000;20;;;
231023;0000;47;;;
231024;0000;8;;;
231025;0000;8;;;
231026;0000;5;;;
231027;0000;14;;;
231028;0000;22;;;
231029;0000;26;;;
231030;0000;48;;;
231031;0000;32;;;
231101;0000;43;;;
231102;0000;10;;;
231103;0000;9;;;
231104;0000;19;;;
231105;0000;28;;;
231106;0000;32;;;
231107;0000;11;;;
231108;0000;10;;;
231109;0000;13;;;
231110;0000;15;;;
231111;0000;14;;;
231112;0000;10;;;
231113;0000;18;;;
231114;0000;13;;;
231115;0000;14;;;
231116;0000;11;;;
231117;0000;13;;;
231118;0000;20;;;
231119;0000;21;;;
231120;0000;15;;;
231121;0000;13;;;
231122;0000;11;;;
231123;0000;10;;;
231124;0000;11;;;
231125;0000;7;;;
231126;0000;12;;;
231127;0000;14;;;
231128;0000;7;;;
231129;0000;9;;;
231130;0000;10;;;
231201;0000;14;;;
231202;0000;14;;;
231203;0000;12;;;
231204;0000;8;;;
231205;0000;5;;;
231206;0000;8;;;
231207;0000;10;;;
231208;0000;8;;;
231209;0000;7;;;
231210;0000;7;;;
231211;0000;8;;;
231212;0000;7;;;
231213;0000;7;;;
231214;0000;9;;;
231215;0000;18;;;
231216;0000;15;;;
231217;0000;30;;;
231218;0000;13;;;
231219;0000;13;;;
231220;0000;8;;;
231221;0000;6;;;
231222;0000;5;;;
231223;0000;6;;;
231224;0000;9;;;
231225;0000;4;;;
231226;0000;7;;;
231227;0000;5;;;
231228;0000;5;;;
231229;0000;8;;;
231230;0000;5;;;
231231;0000;8;;;
240101;0000;;7;;
240102;0000;;7;;
240103;0000;;5;;
240104;0000;;7;;
240105;0000;;6;;
240106;0000;;8;;
240107;0000;;7;;
240108;0000;;6;;
240109;0000;;6;;
240110;0000;;7;;
240111;0000;;6;;
240112;0000;;5;;
240113;0000;;6;;
240114;0000;;4;;
240115;0000;;4;;
240116;0000;;5;;
240117;0000;;5;;
240118;0000;;6;;
240119;0000;;7;;
240120;0000;;9;;
240121;0000;;6;;
240122;0000;;5;;
240123;0000;;4;;
240124;0000;;3;;
240125;0000;;4;;
240126;0000;;4;;
240127;0000;;6;;
240128;0000;;6;;
240129;0000;;5;;
240130;0000;;6;;
240131;0000;;5;;
240201;0000;;3;;
240202;0000;;7;;
240203;0000;;5;;
240204;0000;;3;;
240205;0000;;3;;
240206;0000;;6;;
240207;0000;;6;;
240208;0000;;7;;
240209;0000;;5;;
240210;0000;;6;;
240211;0000;;8;;
240212;0000;;8;;
240213;0000;;7;;
240214;0000;;8;;
240215;0000;;7;;
240216;0000;;9;;
240217;0000;;6;;
240218;0000;;5;;
240219;0000;;7;;
240220;0000;;6;;
240221;0000;;6;;
240222;0000;;10;;
240223;0000;;16;;
240224;0000;;15;;
240225;0000;;7;;
240226;0000;;5;;
240227;0000;;8;;
240228;0000;;8;;
240229;0000;;11;;
240301;0000;;8;;
240302;0000;;13;;
240303;0000;;12;;
240304;0000;;31;;
240305;0000;;24;;
240306;0000;;11;;
240307;0000;;20;;
240308;0000;;20;;
240309;0000;;14;;
240310;0000;;10;;
240311;0000;;26;;
240312;0000;;11;;
240313;0000;;21;;
240314;0000;;12;;
240315;0000;;16;;
240316;0000;;11;;
240317;0000;;;4;
240318;0000;;;2;
240319;0000;;;2;
240320;0000;;;8;
240321;0000;;25;;
240322;0000;;;57;
240323;0000;;;46;
240324;0000;;24;;
240325;0000;;23;;
240326;0000;;9;;
240327;0000;;16;;
240328;0000;;24;;
240329;0000;;12;;
240330;0000;;19;;
240331;0000;;21;;
240401;0000;;17;;
240402;0000;;32;;
240403;0000;;18;;
240404;0000;;10;;
240405;0000;;10;;
240406;0000;;9;;
240407;0000;;14;;
240408;0000;;25;;
240409;0000;;35;;
240410;0000;;98;;
240411;0000;;175;;
240412;0000;;121;;
240413;0000;;149;;
240414;0000;;77;;
240415;0000;;39;;
240416;0000;;14;;
240417;0000;;20;;
240418;0000;;38;;
240419;0000;;16;;
240420;0000;;28;;
240421;0000;;100;;
240422;0000;;104;;
240423;0000;;71;;
240424;0000;;70;;
240425;0000;;39;;
240426;0000;;26;;
240427;0000;;18;;
240428;0000;;25;;
240429;0000;;32;;
240430;0000;;32;;
240501;0000;;63;;
240502;0000;;53;;
240503;0000;;48;;
240504;0000;;36;;
240505;0000;;31;;
240506;0000;;82;;
